MonthlyIncome,DebtRatio,age,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,SeriousDlqin2yrs
6900.0,0.256339661,70,0,0,0
0.0,3095.0,73,0,1,0
3000.0,0.824725092,31,0,0,1
5400.0,0.0,62,0,0,0
5750.0,0.306381499,51,0,0,0
2231.0,0.008064516,29,0,0,0
13793.0,0.073147745,55,0,0,0
13000.0,0.016921775,46,1,0,0
3216.0,0.351258937,64,0,0,0
5400.0,2477.0,43,0,0,0
5813.0,0.261609907,35,0,0,0
7783.0,0.241135663,58,0,0,0
5600.0,0.00803428,69,0,0,0
5400.0,1720.0,72,0,0,0
3326.0,1.051397656,46,0,0,0
4500.0,0.549877805,60,0,0,0
3720.0,0.540983607,67,0,0,0
7723.0,0.316416365,55,2,0,0
764.0,0.681045752,27,1,0,0
2000.0,0.111444278,31,0,0,0
9455.0,0.16106176,64,0,0,0
8384.0,0.262611807,36,0,0,0
5400.0,1824.0,67,0,0,0
6793.0,0.369590815,56,0,0,0
0.0,3162.0,31,0,0,0
10257.0,0.182881653,49,1,0,1
8600.0,0.116614347,36,0,0,0
4800.0,0.694646949,29,0,0,0
4975.0,0.074155949,37,0,0,0
15000.0,0.270448637,69,0,0,0
1042.0,2.797698945,41,0,0,0
10833.0,0.111131623,52,0,0,0
4500.0,0.208842479,66,0,0,0
12414.0,2.604510673,53,0,0,0
4950.0,0.492021814,56,0,0,0
3300.0,0.395031809,31,0,0,0
4886.0,0.316144874,58,0,0,0
5400.0,3282.0,58,1,0,0
3200.0,0.004061231,64,0,1,0
4716.0,0.591477634,45,0,0,1
4916.0,0.487288997,60,0,0,0
0.0,15466.0,51,0,0,0
10500.0,0.123797734,83,0,0,0
5400.0,2662.0,52,0,1,0
3050.0,0.368403802,34,0,0,0
3100.0,0.51241535,44,0,0,0
6500.0,0.288417167,37,0,1,0
5400.0,10.0,48,2,0,0
5714.0,0.280664917,57,0,0,0
2900.0,0.480523957,32,0,0,0
7500.0,0.006799093,75,0,0,0
5400.0,15.0,61,0,0,0
4000.0,0.32591852,34,0,0,0
2690.0,0.138238573,52,0,0,0
4908.0,0.299246282,44,0,0,0
8333.0,0.258939285,57,0,0,0
6250.0,0.026235802,46,0,0,0
10060.0,0.003478779,80,0,0,0
3000.0,0.519493502,32,0,0,0
8314.0,0.664221287,62,0,0,0
5400.0,4739.0,61,0,0,0
8000.0,0.009748781,47,0,0,0
3833.0,1.382629108,58,0,0,0
3500.0,0.023993145,52,0,0,0
10000.0,0.108089191,68,0,0,0
3097.0,0.384441575,39,1,0,0
5400.0,7.0,74,0,0,0
10200.0,0.149103029,46,0,0,0
4067.0,1.243362832,44,0,0,0
5400.0,269.0,68,0,0,0
8168.0,0.12290366,68,0,0,0
500.0,0.123752495,31,0,0,0
4500.0,0.297933792,34,0,0,0
4145.0,0.239507959,67,0,0,0
14000.0,0.366545247,58,0,1,0
5400.0,4090.0,39,0,0,0
3228.0,0.63332301,58,0,0,0
3300.0,0.2226598,61,0,0,0
19167.0,0.218854341,59,0,0,0
12000.0,0.266394467,36,0,0,0
4500.0,0.351699622,59,0,0,0
5400.0,994.0,43,1,0,0
1000.0,0.001998002,77,0,0,0
4550.0,0.517468688,48,0,0,0
2751.0,0.086482558,81,0,0,0
3150.0,0.100920343,51,0,0,0
7943.0,0.199647533,53,0,0,0
2700.0,1.065901518,56,0,0,0
4139.0,1.129227053,63,0,0,0
9450.0,0.112051635,55,0,0,0
5417.0,0.315983758,54,0,0,0
6799.0,0.323088235,55,0,0,0
5400.0,3031.0,72,0,0,0
8639.0,0.534027778,53,0,0,0
5400.0,567.0,27,0,0,0
3800.0,0.343593791,31,0,0,0
5821.0,0.43369976,38,0,0,0
12500.0,0.452363811,40,0,0,0
3937.0,0.427882174,48,1,0,0
3500.0,0.748071979,50,0,0,0
2083.0,0.025911708,34,0,0,0
3000.0,0.370876375,48,2,0,0
3500.0,0.655812625,57,1,0,0
4000.0,0.315171207,30,0,0,0
3166.0,0.144616356,28,0,0,0
9583.0,0.563752087,36,0,0,0
6825.0,0.412979783,60,0,0,0
12000.0,0.342971419,58,0,0,0
3100.0,0.801999355,49,0,0,0
6800.0,0.034847816,40,0,0,0
5400.0,2.0,63,0,0,0
3477.0,0.726566993,50,1,0,0
5400.0,2088.0,38,0,0,0
5416.0,1.104301274,47,1,0,1
5146.0,0.610841267,63,0,0,0
6916.0,0.593899089,42,0,0,0
1875.0,3.382196162,54,2,0,0
5400.0,1268.0,63,0,0,0
1.0,639.5,29,0,0,0
7734.0,0.138461538,36,0,0,0
5000.0,0.852429514,33,0,0,0
4500.0,0.089091313,72,0,0,0
5400.0,974.0,29,0,0,0
7506.0,0.543625949,53,0,0,0
4200.0,0.365151154,79,0,0,0
9455.0,0.342005076,58,0,0,0
5000.0,0.330733853,69,0,0,0
2255.0,0.005319149,69,0,0,0
10065.0,0.010927876,75,0,0,0
2400.0,0.907538526,41,0,0,0
5400.0,1593.0,35,0,0,1
7700.0,0.667835346,46,0,0,0
5400.0,2177.0,65,0,0,0
3970.0,0.436665827,55,0,0,0
5400.0,3144.0,55,4,0,0
6200.0,0.477503628,51,0,0,1
2916.0,0.152896812,25,0,1,1
3883.0,0.291709578,44,0,2,1
5400.0,13.0,86,0,0,0
5000.0,0.438912218,56,0,0,0
15000.0,0.47090194,55,0,0,0
6833.0,0.332016389,64,0,0,0
3500.0,0.536703799,53,5,2,0
5400.0,2932.0,49,0,0,0
3250.0,0.156259612,55,0,0,0
5000.0,0.016196761,80,1,0,0
1.0,74.5,38,0,0,1
21000.0,0.224465502,44,4,0,0
3300.0,0.119660709,40,0,0,0
5400.0,103.0,35,0,0,0
3400.0,0.308438695,69,0,0,0
5200.0,0.181311286,64,0,0,0
9866.0,0.269281443,61,0,0,0
4800.0,0.166215372,46,0,0,0
7272.0,0.429533892,49,0,0,0
9000.0,0.17386957,64,0,0,0
10000.0,0.443755624,40,0,0,0
5833.0,0.024340075,27,0,0,0
5400.0,1253.0,60,0,0,0
2650.0,0.034326669,92,1,0,0
8750.0,0.420180551,50,0,0,0
5400.0,2826.0,64,0,0,0
1937.0,0.358101135,66,1,0,0
19000.0,0.183464028,53,0,0,0
6000.0,0.04965839,62,0,0,0
5400.0,5223.0,63,0,0,1
5400.0,1208.0,50,2,0,0
2200.0,0.031349387,61,0,0,0
1.0,800.0,42,0,0,0
5250.0,0.332698534,63,0,0,0
4166.0,0.135589153,73,1,0,0
7600.0,0.04578345,72,0,0,0
5215.0,0.700153374,52,3,1,0
8167.0,0.376836435,45,0,0,0
6962.0,0.296854804,44,0,0,0
6001.0,0.701766078,63,1,0,0
6000.0,0.322446259,37,0,0,0
3556.0,0.153500141,38,0,0,1
2000.0,0.56071964,36,0,0,0
6400.0,0.436025621,41,0,0,0
10000.0,0.262773723,63,1,0,0
7704.0,0.002465931,76,0,0,0
2600.0,0.537485582,43,0,0,0
2900.0,0.588073078,64,0,0,0
12916.0,0.460246187,67,0,0,0
4416.0,0.353860086,52,0,0,0
5400.0,3730.0,66,0,0,0
5000.0,0.476704659,55,0,0,0
5833.0,0.578676723,42,0,0,0
5400.0,0.0,28,0,0,0
14000.0,0.283765445,47,0,0,0
5500.0,0.209961825,61,1,1,1
10500.0,0.000285687,73,0,0,0
5400.0,2825.0,58,0,0,0
6000.0,0.040493251,68,0,0,0
9000.0,0.20364404,41,0,0,0
9200.0,0.14041952,44,2,0,0
6694.0,0.458551158,42,0,0,0
10000.0,0.359964004,40,0,0,0
4500.0,0.008886914,78,0,0,0
3333.0,0.165566887,81,0,0,0
6625.0,0.257017809,49,0,0,0
3500.0,0.151956584,58,7,0,1
9750.0,0.092913547,54,0,0,0
7166.0,0.058322869,33,1,0,0
8500.0,0.266909775,53,0,0,0
1725.0,0.0,23,0,0,0
15000.0,0.123125125,49,1,0,0
4825.0,0.278077082,44,0,0,0
9387.0,0.007988922,63,0,0,0
5400.0,86.0,42,0,0,0
12500.0,0.125189985,65,0,0,0
5400.0,1612.0,54,0,0,0
4991.0,0.037259615,28,0,0,0
5400.0,392.0,78,0,0,0
2500.0,1.117952819,66,0,0,0
6800.0,0.264078812,32,0,0,0
208333.0,0.009691169,43,1,0,0
5700.0,0.637607437,59,0,0,0
2900.0,0.267149259,76,0,0,0
3600.0,0.094140517,68,0,0,0
1285.0,0.529548989,61,0,0,0
4464.0,0.175139978,68,0,0,0
11666.0,0.130453416,57,0,0,0
4668.0,0.445277361,68,0,0,0
26484.0,0.205927884,57,0,0,0
1705.0,0.637749121,46,1,0,1
8332.0,0.389895596,69,0,0,0
6666.0,0.326383681,44,0,0,0
3750.0,0.139429485,28,0,0,0
7500.0,0.595653913,53,1,0,0
8855.0,0.178184282,40,0,0,0
5411.0,0.554878049,36,1,0,0
16250.0,0.272721679,42,0,0,0
2652.0,0.307576329,64,0,0,0
5400.0,5439.0,57,0,0,0
16615.0,0.262879153,62,0,0,0
9493.0,0.092163472,47,0,1,0
5480.0,0.0,62,0,0,0
5000.0,0.347930414,49,0,0,0
8900.0,0.28446242,66,0,0,0
5081.0,0.705627706,54,0,0,0
5400.0,942.0,56,1,0,0
4216.0,0.689589756,83,0,0,0
8333.0,0.339332853,45,0,0,0
2300.0,0.53628857,29,0,0,0
13054.0,0.083799311,67,0,0,0
2725.0,0.24651504,29,1,1,0
15800.0,0.282830201,46,1,0,0
0.0,1005.0,25,0,0,0
4000.0,0.787803049,68,0,0,0
4900.0,0.537441339,33,0,0,0
5590.0,0.03988553,55,1,0,0
6666.0,0.271186441,46,0,0,0
11600.0,0.046633911,66,0,0,0
3172.0,0.391427671,66,0,0,0
500.0,0.075848303,48,0,0,0
11000.0,0.408871921,52,0,0,0
6667.0,0.166766647,32,1,0,0
7750.0,0.066830086,51,0,0,0
4166.0,0.144948404,27,0,0,0
7460.0,0.463610776,32,2,1,0
1500.0,0.136575616,30,0,0,0
6179.0,0.329935275,37,0,0,0
8333.0,0.042836573,49,0,0,0
7900.0,0.184027338,37,0,0,0
5500.0,0.632794037,36,1,0,0
3666.0,0.406053995,62,1,0,0
8000.0,0.043744532,57,0,0,0
4200.0,0.0,59,0,0,0
3550.0,0.472542946,38,2,1,0
5400.0,10.0,92,0,0,0
5400.0,3976.0,58,0,0,0
6100.0,0.288477299,37,0,0,0
1244.0,0.750200803,63,0,0,0
12500.0,1.247340213,32,0,0,0
6946.0,0.483518065,52,0,0,0
0.0,4211.0,43,0,0,0
2090.0,0.168340507,29,1,0,0
7500.0,0.318890815,45,1,0,0
2423.0,0.712458746,38,0,0,0
7090.0,0.249471161,62,0,0,0
5400.0,0.0,29,0,0,0
6500.0,0.408706353,41,0,0,0
3000.0,0.193935355,29,0,0,0
25000.0,0.03975841,47,0,0,1
4400.0,0.388320836,55,1,0,0
5213.0,0.001534331,87,0,0,0
9230.0,0.199761673,41,0,0,0
913.0,1.394967177,61,0,0,0
4000.0,0.189702574,28,0,0,0
1984.0,0.572292191,43,0,0,0
4300.0,0.426412462,71,0,0,0
16100.0,0.072914726,46,0,0,0
5600.0,0.090341011,30,0,0,0
7523.0,0.461323764,43,0,0,1
15928.0,0.381254316,59,0,0,0
5400.0,773.0,47,0,0,0
5400.0,542.0,61,0,0,0
3697.0,0.356679286,72,0,0,0
5773.0,0.45722203,50,0,0,0
25000.0,0.218071277,68,1,0,1
5400.0,8380.0,58,0,0,0
3000.0,0.193935355,69,2,2,0
5400.0,151.0,71,0,0,0
5400.0,2073.0,48,2,2,1
4500.0,0.184625639,37,0,0,0
5400.0,2720.0,50,0,0,0
1886.0,0.563328034,38,0,0,0
5400.0,3388.0,35,0,0,0
14330.0,0.033982276,59,0,0,0
5666.0,0.119463561,67,0,0,0
2500.0,0.698120752,30,0,0,0
19580.0,0.170164956,56,0,0,0
8000.0,0.333583302,51,0,0,0
5400.0,3878.0,40,1,0,0
1187.0,0.467171717,28,0,0,0
4700.0,0.017655818,54,0,0,0
5400.0,4480.0,46,1,0,0
5400.0,6381.0,57,0,0,0
3871.0,0.314566116,35,2,1,0
2500.0,0.009596162,79,0,0,0
5000.0,0.267146571,46,0,0,0
5400.0,1063.0,79,0,0,0
8636.0,0.214426305,64,0,0,0
2000.0,0.164917541,74,0,0,0
10500.0,0.101514142,64,0,0,0
9000.0,0.387956894,63,0,0,0
6150.0,0.285156885,63,1,0,1
3640.0,0.655589124,54,0,0,0
8050.0,0.278226307,63,0,0,0
14491.0,0.290229092,45,0,0,0
5400.0,130.0,22,0,0,0
5400.0,870.0,66,0,0,0
5228.0,0.13080895,57,0,0,0
2300.0,0.10821382,43,0,0,0
20000.0,0.008549573,61,0,0,0
5400.0,2028.0,54,0,0,0
5400.0,876.0,90,0,0,0
7550.0,2.086478612,60,0,0,0
3201.0,0.007495315,34,2,0,0
5400.0,34.0,38,0,0,0
4200.0,0.0,60,0,0,0
8200.0,0.285452994,76,0,0,0
9600.0,0.070513488,76,0,0,0
10154.0,0.188281635,39,0,0,0
5400.0,0.0,83,0,0,0
4697.0,0.582162622,63,0,0,0
9700.0,0.414081023,52,0,0,0
5400.0,668.0,58,1,0,1
6250.0,0.113421853,42,1,1,0
1.0,926.5,63,0,0,0
7752.0,0.115826132,58,0,0,0
5394.0,0.073772011,62,0,0,0
5800.0,1.206516118,46,1,0,0
7444.0,0.000268637,27,0,0,0
3724.0,0.352214765,27,0,0,0
3064.0,0.092985318,35,1,0,0
9700.0,0.437996083,55,0,0,0
16666.0,0.043259135,73,0,0,0
10173.0,0.492529978,51,0,0,0
11200.0,0.344879921,36,0,0,0
31666.0,0.259102536,56,0,0,0
5400.0,2113.0,59,0,0,0
5400.0,1599.0,49,0,0,0
6000.0,0.255290785,64,0,0,0
4800.0,0.131430952,56,0,0,0
6700.0,0.045366363,37,0,0,0
4166.0,1.299736021,48,0,0,0
4750.0,0.334245422,36,0,0,0
5400.0,724.0,70,0,0,0
8785.0,0.369223765,49,2,0,1
1.0,2221.5,57,0,0,0
3900.0,0.644706486,39,0,0,0
3000.0,1.2979007,61,10,5,1
5750.0,0.41627543,38,0,0,0
1200.0,0.035803497,24,0,0,0
5400.0,1786.0,33,0,0,0
4550.0,0.386728192,73,0,0,0
5178.0,0.130140954,79,0,0,0
3648.0,0.000822143,81,0,0,0
2000.0,0.725137431,55,0,0,0
11667.0,0.16069592,57,0,0,0
3290.0,0.518991188,58,0,0,0
2439.0,0.003278689,52,0,0,0
10250.0,0.446688128,51,0,0,0
8208.0,0.41905226,63,0,0,0
5400.0,3.0,97,0,0,0
5400.0,13.0,56,0,0,0
4583.0,0.686736475,41,0,0,0
3666.0,0.603763294,43,1,0,0
5400.0,1348.0,56,0,0,0
5400.0,862.0,59,0,0,0
9345.0,0.207789429,40,0,0,0
3416.0,0.306409131,74,0,0,0
9400.0,0.358153388,49,0,0,0
6000.0,0.209965006,68,0,0,0
6783.0,0.785229953,57,0,0,0
8900.0,0.179979778,48,0,0,0
3833.0,0.19170579,40,1,0,0
3500.0,0.0,23,0,0,0
5389.0,0.013543599,52,0,0,0
5400.0,2045.0,48,0,0,0
3166.0,0.454057468,55,0,0,0
5064.0,0.671076012,61,3,1,0
3762.0,0.114004783,33,0,0,0
10000.0,0.065493451,69,0,0,0
5566.0,0.432010059,39,0,0,0
4600.0,0.00912845,84,0,0,0
2060.0,0.095584668,32,2,0,0
5400.0,726.0,78,0,0,0
7500.0,0.229436075,61,0,0,0
7236.0,0.177007047,37,0,0,0
5416.0,0.257707218,33,1,0,0
3939.0,0.145685279,81,0,0,0
3917.0,0.566105156,60,0,0,0
10000.0,0.394460554,46,0,0,0
6500.0,0.053530226,57,0,0,0
8333.0,0.130309575,57,0,0,0
3416.0,0.006731051,32,0,0,1
2700.0,0.594224361,42,0,0,1
10000.0,0.384761524,38,1,0,0
5000.0,0.176964607,82,0,0,0
5290.0,0.216405216,33,0,0,0
4917.0,0.168767792,68,0,0,0
5500.0,0.280494456,52,1,0,0
2500.0,0.041583367,46,0,0,0
5400.0,90.0,66,0,0,0
4330.0,0.558762411,57,0,0,0
9400.0,0.399106478,50,0,0,0
7500.0,0.034395414,34,0,0,0
11266.0,0.52409692,53,4,0,0
4311.0,0.374304267,76,0,0,0
6228.0,0.186225718,64,0,0,0
3900.0,0.020763907,72,0,0,0
7667.0,0.478090767,48,0,0,0
6399.0,0.4925,71,1,0,0
5400.0,929.0,59,0,0,0
5600.0,1.114622389,53,0,0,0
5400.0,997.0,34,0,0,0
5250.0,0.086269282,51,1,0,0
2550.0,0.412779302,55,0,0,0
7668.0,0.254661625,46,0,0,0
2264.0,0.229139073,27,2,1,0
9115.0,0.44723563,43,0,0,0
1640.0,0.205971968,75,0,0,0
4484.0,0.068227425,31,0,0,0
11666.0,0.384074741,43,0,0,0
3800.0,0.532754538,51,0,0,0
6000.0,0.057990335,28,1,0,0
6583.0,0.09963548,51,0,0,0
7433.0,0.467850417,55,1,2,0
4015.0,0.016683267,69,0,0,0
7416.0,0.533099636,42,0,0,0
2497.0,0.660528423,33,0,0,0
1250.0,0.023181455,60,0,0,0
2372.0,0.228402866,54,0,1,1
7996.0,0.262848568,48,0,0,0
6993.0,0.067629397,49,0,0,0
0.0,8500.0,73,0,0,0
5400.0,0.0,91,0,0,0
4100.0,0.195074372,66,1,0,0
5000.0,0.568886223,49,1,0,0
4700.0,0.278025952,46,0,0,0
4000.0,1.620344914,37,2,0,1
5400.0,2126.0,54,0,0,0
800.0,0.347066167,22,0,0,0
5250.0,0.162635688,31,0,0,0
3200.0,0.450171821,39,0,0,0
5400.0,7.0,56,0,0,0
8916.0,0.4825614,44,0,0,0
3600.0,0.297139683,50,1,1,1
5599.0,0.001785714,55,0,0,0
8220.0,0.207274054,52,0,0,0
6204.0,0.287187752,58,2,0,0
7416.0,0.044762033,62,0,0,0
8333.0,0.230261579,42,0,0,0
5400.0,1215.0,47,0,0,0
3600.0,0.790613718,42,1,0,0
9841.0,0.055984556,39,0,0,1
8000.0,0.724784402,45,0,0,0
5400.0,0.0,82,0,0,0
5400.0,3819.0,64,0,0,0
1266.0,0.127071823,55,1,0,0
12900.0,0.498488489,58,0,0,0
5600.0,0.300839136,35,0,0,0
5400.0,7963.0,62,0,0,0
10480.0,0.524949909,52,1,0,1
0.0,887.0,40,0,0,0
5400.0,2301.0,57,0,0,0
8836.0,0.4842141,45,2,0,0
3900.0,0.881825173,27,0,0,0
5400.0,499.0,24,1,0,0
6120.0,0.674399608,37,0,0,0
3597.0,0.437743191,36,0,0,0
10794.0,0.423251505,40,0,0,0
5400.0,2.0,86,0,0,0
5400.0,87.0,56,0,0,0
3612.0,0.53418212,59,0,0,0
7200.0,0.60616581,40,0,0,0
9000.0,0.030774358,49,0,0,0
5100.0,0.351891786,66,0,0,0
5217.0,0.200843235,63,3,1,0
5400.0,461.0,45,0,0,0
4700.0,0.0,30,0,0,0
3000.0,0.785404865,36,0,0,0
5400.0,677.0,39,0,0,0
4500.0,0.0,27,0,0,0
6000.0,0.747375437,44,3,0,0
5400.0,3.0,34,0,0,0
3620.0,0.388566694,59,0,0,0
3250.0,0.08951092,38,0,0,0
70000.0,0.024885359,38,0,0,0
5400.0,1314.0,39,0,0,0
10234.0,0.353883732,43,0,0,0
5400.0,3169.0,57,0,0,0
801.0,0.527431421,75,0,0,0
8400.0,0.338531127,29,0,0,0
9000.0,0.324741695,55,0,0,0
6003.0,0.293637575,60,0,0,0
1436.0,0.437717467,37,0,0,0
6908.0,0.064119265,69,0,0,0
7420.0,0.480393478,48,0,0,0
2500.0,0.549380248,89,1,1,1
8166.0,0.197624587,56,2,0,0
8289.0,0.0013269,75,0,0,0
4144.0,0.138721351,55,1,0,0
4000.0,1.308922769,63,0,0,0
5400.0,562.0,49,0,0,0
12000.0,0.236980252,31,0,0,0
10000.0,0.368063194,61,0,0,0
7900.0,0.348057208,46,0,0,0
2400.0,0.185755935,40,0,0,0
1813.0,0.184123484,91,0,0,0
5400.0,2568.0,46,0,0,0
2000.0,0.336831584,56,0,0,0
4350.0,0.260170076,29,3,0,0
3775.0,0.373940678,45,0,0,0
4800.0,0.098937721,49,1,0,0
5400.0,556.0,64,0,0,0
10000.0,0.238076192,51,0,0,0
5400.0,1021.0,45,0,0,0
5595.0,0.024303074,78,0,0,0
5833.0,0.240143984,36,0,0,0
6048.0,0.3539428,54,0,0,0
16800.0,0.349026844,67,0,0,0
6283.0,0.102800764,63,0,0,0
7500.0,0.572590321,61,0,0,1
2223.0,0.010791367,86,0,0,0
3289.0,0.454103343,50,0,0,0
5833.0,0.350874186,51,0,2,1
5000.0,0.187762448,70,0,0,0
1500.0,0.607594937,44,0,0,0
10930.0,0.306101912,39,2,0,0
33333.0,0.201025979,49,0,0,0
6500.0,1.908629442,58,0,0,0
0.0,723.0,39,0,0,0
4333.0,0.158975542,33,0,0,0
5770.0,0.513602495,53,0,0,0
2247.0,0.175266904,36,0,0,0
6584.0,0.566894457,62,0,0,0
5212.0,0.002301937,62,0,0,0
2200.0,0.263516583,29,1,0,0
2080.0,0.2138395,44,1,1,0
7166.0,0.444956049,32,0,0,0
3500.0,0.444444444,52,0,0,0
5400.0,73.0,69,0,0,0
5400.0,1468.0,71,0,0,0
4000.0,0.506873282,63,0,0,0
12912.0,0.258576628,44,0,0,0
3850.0,1.383017398,54,0,0,0
6665.0,0.266876688,41,0,0,0
6250.0,0.191649336,32,1,0,0
1700.0,0.571428571,87,1,0,0
7333.0,0.157212981,43,0,0,0
5856.0,0.020146833,47,0,0,0
16059.0,0.145703611,75,0,0,0
18500.0,0.480082158,64,2,0,0
1700.0,1.432686655,41,0,0,0
5400.0,1581.0,30,0,0,0
0.0,2866.0,40,0,0,0
6200.0,0.0,56,0,0,0
5541.0,0.489714904,55,0,0,0
4300.0,0.297372704,36,0,0,0
11916.0,0.404799866,57,0,0,0
4400.0,0.238127698,56,0,0,0
4500.0,0.183736947,49,0,0,0
0.0,79.0,53,0,0,0
7123.0,0.295480067,51,0,0,0
2334.0,0.24496788,64,0,0,0
2416.0,0.179975176,28,0,0,0
5400.0,4659.0,54,0,0,0
5400.0,2719.0,53,0,0,0
12667.0,0.337622356,37,0,0,1
5400.0,4294.0,70,3,1,0
5400.0,5368.0,48,0,0,0
3812.0,0.258589038,52,0,0,0
1181.0,0.08037225,36,0,0,0
11318.0,0.23358954,51,0,0,0
3000.0,0.156614462,69,0,0,0
400.0,10.80049875,52,0,0,0
5400.0,84.0,67,0,0,0
7666.0,0.370418677,36,0,0,0
1600.0,0.62273579,49,0,0,0
16984.0,0.160317928,51,3,1,1
4500.0,0.558320373,36,0,0,1
2841.0,0.238212526,33,0,0,0
8741.0,0.162891787,62,0,0,0
4500.0,0.162186181,69,0,0,0
5400.0,1514.0,70,0,0,0
4800.0,0.093522183,49,0,0,0
5400.0,1434.0,46,2,1,0
6666.0,0.416379181,65,0,0,0
8700.0,0.219974716,56,1,1,0
5400.0,2092.0,51,0,0,0
3000.0,0.360879707,57,0,0,0
6613.0,0.367553674,48,0,0,0
3400.0,0.645104381,47,0,0,0
2700.0,0.175120326,33,0,0,1
5400.0,8.0,75,0,0,0
11000.0,0.361421689,40,0,0,0
4900.0,0.517037339,40,0,0,0
6000.0,0.009831695,68,0,0,0
4400.0,0.305839582,35,4,2,0
2083.0,0.325335893,65,0,0,0
7125.0,0.017260735,81,0,0,0
7166.0,0.39095856,52,0,0,0
6500.0,0.009690817,69,0,0,0
5400.0,3300.0,34,0,0,0
9501.0,0.448326668,40,0,0,0
5833.0,0.662152897,35,0,0,0
11000.0,0.008908281,80,0,0,0
5400.0,48.0,68,0,0,0
4500.0,0.149077983,47,0,0,0
6083.0,0.028599606,64,0,0,0
4117.0,0.361340457,36,2,0,1
11666.0,0.166452387,49,0,0,0
7032.0,0.115171335,55,0,0,0
8333.0,0.335733141,35,0,0,0
3500.0,0.035418452,63,0,0,0
9083.0,0.513540291,64,0,0,0
2930.0,0.037871034,64,0,0,0
820.0,0.017052375,26,1,0,0
7035.0,0.457930642,77,0,0,0
4000.0,0.177955511,32,0,0,0
1082.0,3.874422899,54,0,0,0
8800.0,0.263151915,40,0,0,0
5400.0,2958.0,53,0,0,0
6000.0,0.27112148,58,0,0,1
11916.0,0.207518671,50,3,0,0
12500.0,0.00711943,56,0,0,0
7876.0,0.199949219,75,0,0,0
2648.0,0.232918082,36,1,0,0
3333.0,0.182363527,33,0,0,0
6000.0,0.442592901,52,0,0,0
9401.0,0.427674963,62,0,0,0
3233.0,1.012368584,60,0,0,0
4400.0,0.262440354,52,0,0,0
11000.0,0.441868921,36,0,0,0
13000.0,0.190062303,71,2,0,0
5000.0,0.00019996,83,0,0,0
0.0,272.0,76,0,0,0
11000.0,0.090355422,40,0,0,0
6707.0,0.585122242,46,0,0,0
5400.0,605.0,78,0,0,0
5400.0,631.0,36,0,0,0
1666.0,0.668266347,76,0,0,0
1698.0,0.408475574,41,1,0,0
2833.0,0.04587156,60,0,0,0
16441.0,0.361938937,63,2,0,0
4213.0,0.319174181,52,0,0,0
7666.0,0.601017347,58,0,0,0
4575.0,0.712194056,56,0,0,0
5000.0,0.312937413,33,0,0,0
2500.0,0.011195522,64,0,0,0
4000.0,0.043739065,33,0,0,0
5400.0,64.0,40,0,0,0
8500.0,0.461357487,56,0,0,0
17000.0,0.711075819,60,0,0,0
3274.0,0.260763359,27,0,1,0
3600.0,0.336295473,41,0,0,0
3082.0,0.376905611,48,0,0,0
5400.0,1653.0,69,0,0,0
6708.0,0.735131912,39,0,0,0
8000.0,0.23072116,36,0,0,0
6000.0,0.870354941,34,1,0,0
5400.0,3074.0,50,1,0,0
3200.0,0.812870978,79,0,0,0
4490.0,0.020708083,54,0,0,0
2000.0,0.650674663,36,1,0,0
5010.0,0.691279186,39,5,0,1
21000.0,0.453692681,35,0,0,0
